"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Regular_Petrol_importer_cost_NZc.p.l","Regular_Petrol_ETS_NZc.p.l","Regular_Petrol_GST_NZc.p.l","Regular_Petrol_taxes_NZc.p.l","Regular_Petrol_price_excl_taxes_NZc.p.l","Regular_Petrol_main_port_price_NZc.p.l","Regular_Petrol_discounted_retail_price_NZc.p.l","Regular_Petrol_importer_margin_NZc.p.l","Regular_Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2011-02-11,"2011w06","Final",96.64,0.77012,125.486937100712,100.96023019235,2.8035,17.9660455486542,18.3410455486542,116.595136991028,140.328571428571,137.739682539683,15.6349067986783,18.416607990763,94.3145027443068,2.4255,25.7739130434783,84.9029130434783,110.271586956522,199.9,197.6,15.957084212215,15.9210797821472,118.846344720497
2011-02-18,"2011w07","Final",99.06,0.75576,131.07335662115,104.039165024319,2.8035,18.1896480331263,18.5646480331263,118.085820220842,142.042857142857,139.453968253968,14.0466551965232,18.4777574835312,97.0011057238298,2.4255,25.9975155279503,85.1265155279503,111.762270186335,201.614285714286,199.314285714286,14.7611644625056,15.9356202587365,120.337027950311
2011-02-25,"2011w08","Final",105.84,0.7532,140.520446096654,109.064617019218,2.8035,18.3014492753623,18.6764492753623,118.831161835749,142.9,140.311111111111,9.76654481653094,18.5389069762994,103.309136792448,2.4255,26.1652173913043,85.2942173913043,112.880282608696,202.9,200.6,9.57114581624786,15.9501607353257,121.082369565217
2011-03-04,"2011w09","Final",109.34,0.7471,146.352563244546,114.955860865945,2.8035,19.3076604554865,19.6826604554865,125.53923636991,150.614285714286,148.025396825397,10.5833755039656,18.6000564690676,107.081247049786,2.4255,26.8919254658385,86.0209254658385,117.72500310559,208.471428571429,206.171428571429,10.643756055804,15.964701211915,127.790444099379
2011-03-11,"2011w10","Final",109.77,0.7371,148.921448921449,118.458118026022,2.8035,20.4256728778468,20.8006728778468,132.992652518979,159.185714285714,156.596825396825,14.534534492957,18.6612059618359,109.670787413407,2.4255,27.767701863354,86.896701863354,123.56351242236,215.185714285714,212.885714285714,13.8927250089528,15.9792416885043,135.243860248447
2011-03-18,"2011w11","Final",106.94,0.72964,146.56542952689,121.451758045875,2.8035,20.8915113871636,21.2665113871636,136.09824258109,162.757142857143,160.168253968254,14.6464845352152,18.7223554546041,108.222336846024,2.4255,27.8608695652174,86.9898695652174,124.184630434783,215.9,213.6,15.962293588759,15.9937821650936,138.349450310559
2011-03-25,"2011w12","Final",109.85,0.73964,148.518198042291,121.643838309002,2.8035,21.7300207039337,22.1050207039337,141.688304692892,169.185714285714,166.596825396825,20.0444663838893,18.7954651405719,109.5557223593,2.4255,28.1962732919255,87.3252732919255,126.420655279503,218.471428571429,216.171428571429,16.8649329202026,16.0333223414432,143.93951242236
2011-04-01,"2011w13","Final",110.14,0.75664,145.564601395644,118.982962544368,2.8035,21.7132232157077,22.0882232157077,141.576321438051,168.614285714286,166.468044653759,22.5933588936831,18.8685748265397,108.09574824324,2.4255,28.2672240802676,87.3962240802676,126.893660535117,218.9,216.715384615385,18.7979122918769,16.0728625177927,143.442618012422
2011-04-08,"2011w14","Final",115.11,0.7718,149.144856180358,120.49589088366,2.8035,21.5666029622551,21.9416029622551,140.598853081701,166.9,165.343956043956,20.102962198041,18.9416845125075,110.367526048746,2.4255,28.2872909698997,87.4162909698997,127.027439799331,218.9,216.869230769231,16.6599137505846,16.1124026941423,141.951934782609
2011-04-15,"2011w15","Final",115.96,0.78608,147.516792184002,118.416154451419,2.8035,21.5666029622551,21.9416029622551,140.598853081701,166.9,165.343956043956,22.1826986302819,19.0147941984753,109.415358524278,2.4255,28.2872909698997,87.4162909698997,127.027439799331,218.9,216.869230769231,17.6120812750533,16.1519428704919,141.951934782609
2011-04-22,"2011w16","Final",115.77,0.792,146.174242424242,116.259771838588,2.8035,21.2311992355471,21.6061992355471,138.36282823698,164.328571428571,162.772527472527,22.1030563983921,19.0879038844431,108.481137702629,2.4255,28.2872909698997,87.4162909698997,127.027439799331,218.9,216.869230769231,18.5463020967021,16.1914830468415,139.715909937888
